Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
9/1/18,2,Simple assault,,1,1.60E+31,"Bar, Nightclub",13500-13599,DUNLAP,ST,
9/1/18,2,Theft from motor vehicle,,1,19G40,"Residence, Home (Includes Apartment)",10500-10599,AMBLEWOOD,DR,
9/1/18,2,Motor vehicle theft,,1,14D40,"Parking Lot, Garage",5400-5499,OREM,DR,E
9/1/18,2,All other larceny,,1,1.50E+41,Speciality Store,1300-1399,OLD SPANISH,TRL,
9/1/18,3,Simple assault,,1,2A30,"Highway, Road, Street, Alley",2100-2199,COLUMBIA,ST,
9/1/18,3,Driving under the influence,,1,2A30,"Highway, Road, Street, Alley",1200-1299,11TH,ST,W
9/1/18,3,"Destruction, damage, vandalism",,1,1A10,"Bar, Nightclub",1700-1799,MAIN,ST,
9/1/18,3,Drunkenness,,1,8C50,Restaurant,9600-9699,MESA,DR,
9/1/18,3,Intimidation,,1,19G40,"Residence, Home (Includes Apartment)",11700-11799,GLEN,DR,S
9/1/18,3,"Destruction, damage, vandalism",,1,19G40,"Residence, Home (Includes Apartment)",11700-11799,GLEN,DR,S
9/1/18,3,Simple assault,,1,3B10,"Residence, Home (Includes Apartment)",11900-11999,NORTHWEST,FWY,
9/1/18,3,Aggravated Assault,,1,2A30,"Highway, Road, Street, Alley",1700-1799,SHEPHERD,DR,N
9/1/18,3,Simple assault,,1,9C40,"Residence, Home (Includes Apartment)",700-799,COOLWOOD,DR,
9/1/18,3,Simple assault,,1,3B40,"Commercial, Office Building",5100-5199,NORTH,FWY,
9/1/18,3,Disorderly conduct,,1,6B30,"Residence, Home (Includes Apartment)",7600-7699,WOODSMAN,TRL,
9/1/18,3,"False pretenses, swindle",,1,20G20,"Residence, Home (Includes Apartment)",1400-1499,LAKESIDE ESTATES,DR,
9/1/18,3,Simple assault,,1,19G40,"Parking Lot, Garage",11800-11899,BISSONNET,ST,
9/1/18,3,"Destruction, damage, vandalism",,1,14D30,"Residence, Home (Includes Apartment)",5500-5599,FLAMINGO,DR,
9/1/18,3,"Burglary, Breaking and Entering",,1,20G10,"Residence, Home (Includes Apartment)",9800-9899,MEADOWGLEN,LN,
9/1/18,3,Theft from motor vehicle,,1,20G10,"Parking Lot, Garage",9800-9899,MEADOWGLEN,LN,
9/1/18,3,Simple assault,,1,11H20,"Residence, Home (Includes Apartment)",2300-2399,BERKLEY,ST,
9/1/18,3,"Destruction, damage, vandalism",,1,6B40,"Commercial, Office Building",1800-1899,MOUNT HOUSTON,RD,W
9/1/18,3,Robbery,,1,14D10,"Parking Lot, Garage",4600-4699,YELLOWSTONE,BLVD,
9/1/18,3,Aggravated Assault,,1,2A10,"Residence, Home (Includes Apartment)",4400-4499,SIEGEL,,
9/1/18,3,All other offenses,,1,2A10,"Residence, Home (Includes Apartment)",4400-4499,SIEGEL,,
9/1/18,3,Motor vehicle theft,,1,7C10,"Highway, Road, Street, Alley",3200-3299,NANCE,,
9/1/18,3,Theft from motor vehicle,,1,18F40,"Parking Lot, Garage",2700-2799,CROSSVIEW,DR,
9/1/18,3,All other larceny,,1,19G50,"Highway, Road, Street, Alley",9600-9699,BISSONNET,ST,
9/1/18,3,Motor vehicle theft,,1,12D20,"Parking Lot, Garage",10600-10699,SABO,RD,
9/1/18,4,"Destruction, damage, vandalism",,1,14D40,"Residence, Home (Includes Apartment)",4400-4499,GROTON,DR,
9/1/18,4,Assisting or promoting prostitution,,1,9C10,Restaurant,9000-9099,CLINTON,DR,
9/1/18,4,"Burglary, Breaking and Entering",,1,22B30,Restaurant,10800-10899,NORTH,FWY,
9/1/18,4,"Burglary, Breaking and Entering",,1,6B20,"Church, Synagogue, Temple",500-599,RITTENHOUSE,ST,W
9/1/18,4,Forcible fondling,,1,12D10,"Residence, Home (Includes Apartment)",0-99,EDGEBROOK,DR,E
9/1/18,4,"Counterfeiting, forgery",,1,14D50,"Other, Unknown",4500-4599,ALMEDA GENOA,RD,
9/1/18,5,Aggravated Assault,,1,1.70E+41,"Residence, Home (Includes Apartment)",7800-7899,BELLFORT,AVE,W
9/1/18,5,All other offenses,,1,5F10,"Residence, Home (Includes Apartment)",7500-7599,SCHILLER,ST,
9/1/18,5,Simple assault,,4,5F10,"Residence, Home (Includes Apartment)",7500-7599,SCHILLER,ST,
9/1/18,5,Driving under the influence,,1,2A20,"Highway, Road, Street, Alley",5100-5199,FULTON,ST,
9/1/18,5,"Drug, narcotic violations",,1,20G80,"Highway, Road, Street, Alley",14500-14599,WESTHEIMER,RD,
9/1/18,5,Drug equipment violations,,1,20G80,"Highway, Road, Street, Alley",14500-14599,WESTHEIMER,RD,
9/1/18,5,Driving under the influence,,1,20G80,"Highway, Road, Street, Alley",14500-14599,WESTHEIMER,RD,
9/1/18,5,Intimidation,,1,18F60,"Residence, Home (Includes Apartment)",7500-7599,CROTON,RD,
9/1/18,5,Simple assault,,1,8C30,"Residence, Home (Includes Apartment)",8000-8099,FLINTRIDGE,DR,
9/1/18,5,"Destruction, damage, vandalism",,1,18F30,"Residence, Home (Includes Apartment)",5800-5899,INWOOD,DR,
9/1/18,5,Weapon law violations,,1,18F30,"Residence, Home (Includes Apartment)",5800-5899,INWOOD,DR,
9/1/18,5,Driving under the influence,,1,18F50,"Highway, Road, Street, Alley",6500-6599,SOUTHWEST,FWY,
9/1/18,5,Intimidation,,1,10H70,Convenience Store,1600-1699,WHEELER,ST,
9/1/18,5,Aggravated Assault,,1,8C20,"Highway, Road, Street, Alley",7400-7499,BYWOOD,ST,
9/1/18,5,Aggravated Assault,,1,18F40,"Residence, Home (Includes Apartment)",2600-2699,LAZY HOLLOW,DR,
9/1/18,5,"Credit card, ATM fraud",,1,1.70E+41,"Residence, Home (Includes Apartment)",14600-14699,FONMEADOW,DR,
9/1/18,5,All other larceny,,1,18F40,"Residence, Home (Includes Apartment)",2500-2599,WINROCK,BLVD,
9/1/18,5,Simple assault,,1,1.70E+41,"Residence, Home (Includes Apartment)",10900-10999,GESSNER,RD,S
9/1/18,5,Theft from motor vehicle,,1,8C50,"Service, Gas Station",9300-9399,TIDWELL,RD,
9/1/18,5,"Burglary, Breaking and Entering",,1,22B30,"Residence, Home (Includes Apartment)",700-799,SAM HOUSTON,PKWY,N
9/1/18,5,All other larceny,,1,8C10,"Residence, Home (Includes Apartment)",9000-9099,SPAULDING,ST,
9/1/18,6,Driving under the influence,,1,1.50E+41,"Highway, Road, Street, Alley",2800-2899,HOLMES,RD,
9/1/18,6,Shoplifting,,1,1.50E+41,"Service, Gas Station",8600-8699,ALMEDA,RD,
9/1/18,6,Theft of motor vehicle parts or accessory,,1,22B40,"Parking Lot, Garage",6000-6099,GREENS,RD,
9/1/18,6,"Destruction, damage, vandalism",,1,3B30,"Service, Gas Station",1800-1899,43RD,ST,W
9/1/18,6,Robbery,,1,19G20,"Parking Lot, Garage",4500-4599,COOK,RD,
9/1/18,6,All other offenses,,1,22B20,"Highway, Road, Street, Alley",1300-1399,GREENS,PKWY,
9/1/18,6,All other larceny,,1,3B50,"Residence, Home (Includes Apartment)",8400-8499,META,,
9/1/18,6,"Burglary, Breaking and Entering",,1,22B30,"Hotel, Motel, ETC",700-799,SAM HOUSTON,PKWY,N
9/1/18,6,Forcible rape,,1,13D20,"Residence, Home (Includes Apartment)",7000-7099,BELLFORT,ST,
9/1/18,6,Motor vehicle theft,,1,1A50,"Highway, Road, Street, Alley",3100-3199,LOOP,,W
9/1/18,7,Intimidation,,1,2A50,"Other, Unknown",5900-5999,MEMORIAL,DR,
9/1/18,7,"Destruction, damage, vandalism",,1,2A50,"Other, Unknown",5900-5999,MEMORIAL,DR,
9/1/18,7,Intimidation,,1,22B30,"Residence, Home (Includes Apartment)",11400-11499,GREEN PLAZA,DR,
9/1/18,7,All other offenses,,1,8C30,"Highway, Road, Street, Alley",7800-7899,RAND,ST,
9/1/18,7,Driving under the influence,,1,HCSO,"Highway, Road, Street, Alley",8800-8899,FM 1960,RD,W
9/1/18,7,Simple assault,,1,10H30,Shelter-Mission/Homeless,2000-2099,CONGRESS,ST,
9/1/18,7,Aggravated Assault,,1,7C10,"Service, Gas Station",900-999,LOCKWOOD,DR,
9/1/18,7,"Destruction, damage, vandalism",,1,7C10,"Service, Gas Station",900-999,LOCKWOOD,DR,
9/1/18,7,Simple assault,,1,22B30,"Hotel, Motel, ETC",700-799,SAM HOUSTON,PKWY,N
9/1/18,7,Intimidation,,1,8C20,"Residence, Home (Includes Apartment)",7300-7399,GLEN MANOR,DR,
9/1/18,7,All other offenses,,1,11H10,"Residence, Home (Includes Apartment)",7000-7099,AVENUE O,,
9/1/18,7,"Destruction, damage, vandalism",,1,6B40,Convenience Store,8900-8999,VETERANS MEMORIAL,DR,
9/1/18,7,Shoplifting,,1,3B10,Convenience Store,3300-3399,ANTOINE,DR,
9/1/18,7,"Burglary, Breaking and Entering",,1,12D20,Speciality Store,12300-12399,GULF,FWY,
9/1/18,7,Theft from motor vehicle,,1,1.70E+41,"Parking Lot, Garage",8400-8499,BREEZE,DR,S
9/1/18,7,Embezzlement,,1,10H70,"Other, Unknown",2400-2499,HOLCOMBE,BLVD,
9/1/18,7,Impersonation,,1,20G80,"Residence, Home (Includes Apartment)",2100-2199,ARROWOOD GLEN,DR,
9/1/18,8,All other offenses,,1,20G40,"Residence, Home (Includes Apartment)",11400-11499,OVERBROOK,LN,
9/1/18,8,"Burglary, Breaking and Entering",,1,20G40,Speciality Store,2300-2399,DAIRY ASHFORD,RD,S
9/1/18,8,"Counterfeiting, forgery",,1,10H50,"Residence, Home (Includes Apartment)",4000-4099,ENNIS,ST,
9/1/18,8,Intimidation,,2,8C10,"Residence, Home (Includes Apartment)",5200-5299,ANTHA,ST,
9/1/18,8,All other offenses,,1,20G50,"Residence, Home (Includes Apartment)",100-199,HAVERSHAM,DR,
9/1/18,8,Shoplifting,,1,5F30,"Department, Discount Store",14000-14099,NORTHWEST,FWY,
9/1/18,8,All other larceny,,1,1.70E+41,"Residence, Home (Includes Apartment)",10600-10699,ALBURY,DR,
9/1/18,8,"False pretenses, swindle",,1,1.50E+31,"Parking Lot, Garage",3900-3999,OMEARA,DR,
