Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
02/22/2018,17,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,JEFFERSON ST,ST,-,1
02/24/2018,20,Burglary,10H30,Garage or Carport,1300-1399,EMANCIPATION AVE,-,-,1
02/24/2018,17,Theft,10H30,Bar or Night Club,800-899,SAINT EMANUEL ST,ST,-,1
02/24/2018,17,Theft,10H30,Other Parking Lot,1300-1399,SAINT EMANUEL ST,ST,-,1
02/24/2018,08,AutoTheft,10H30,Driveway,1400-1499,LIVE OAK,-,-,1
02/24/2018,10,Theft,10H30,Garage or Carport,600-699,GREENS PARKWAY,-,-,1
02/24/2018,14,Aggravated Assault,10H30,Bar or Night Club Parking Lot,2100-2199,RUSK ST,ST,-,1
02/25/2018,11,Theft,10H30,Apartment,2400-2499,CAPITOL ST,ST,-,1
02/26/2018,09,Theft,10H30,Vehicle/Auto Sales/Lease/Auto Parts Store,3400-3499,GULF,FWY,-,1
02/26/2018,13,Robbery,10H30,Miscellaneous Business (Non-Specific),1000-1099,SAINT EMANUEL,ST,-,1
02/26/2018,23,Theft,10H30,"Road, Street, or Sidewalk",1000-1099,EMANCIPATION AVE,-,-,1
02/27/2018,00,Theft,10H30,"Road, Street, or Sidewalk",2200-2299,MCKINNEY ST,ST,-,1
02/27/2018,15,Burglary,10H30,Apartment,2100-2199,CAPITOL ST,ST,-,1
02/28/2018,09,Theft,10H30,Residence or House,1800-1899,SHEARN,ST,-,1
02/28/2018,14,Theft,10H30,"Road, Street, or Sidewalk",6800-6899,SIGNAT,DR,-,1
02/28/2018,23,Theft,10H30,"Road, Street, or Sidewalk",2100-2199,CONGRESS,-,-,1
11/01/2017,13,Rape,10H30,Residence or House,7000-7099,LIBERTY,RD,W,1
01/19/2018,17,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,ST,-,1
02/01/2018,07,Burglary,10H40,Restaurant or Cafeteria,1400-1499,ALABAMA STREET,-,-,1
02/01/2018,20,Theft,10H40,Bus Station,3400-3499,ARROWHEAD BAY,LN,-,1
02/01/2018,11,Burglary,10H40,Apartment,3500-3599,MAIN ST,ST,-,1
02/01/2018,13,Theft,10H40,Residence or House,1500-1599,TUAM,-,-,1
02/02/2018,07,Theft,10H40,Residence or House,3300-3399,MILAM,-,-,1
02/02/2018,02,Robbery,10H40,"Road, Street, or Sidewalk",13600-13699,BRAESWEST,ST,-,1
02/02/2018,05,Burglary,10H40,Apartment,500-599,THORNTON,RD,-,1
02/02/2018,18,Theft,10H40,Restaurant or Cafeteria Parking Lot,21900-21999,GREAT CREEK LANE,-,-,1
02/02/2018,12,Robbery,10H40,Bus Station,1000-1099,HADLEY ST,ST,-,1
02/02/2018,23,Theft,10H40,"Road, Street, or Sidewalk",3200-3299,MILAM,-,-,1
02/03/2018,01,Robbery,10H40,"Road, Street, or Sidewalk",7900-7999,HILLSBORO,-,-,1
02/03/2018,09,Theft,10H40,Apartment,2300-2399,MILAM,-,-,1
02/03/2018,09,Theft,10H40,Commercial Parking Lot or Garage,3900-3999,ALMEDA RD,RD,-,1
02/03/2018,10,Theft,10H40,Apartment Parking Lot,3300-3399,MILAM,-,-,1
02/03/2018,15,Theft,10H40,Commercial Parking Lot or Garage,3000-3099,MILAM,-,-,1
02/04/2018,11,Robbery,10H40,Bus Station,2100-2199,MAIN ST,ST,-,1
02/04/2018,10,Theft,10H40,Bus Stop,2100-2199,MAIN ST,ST,-,1
02/04/2018,05,AutoTheft,10H40,"Road, Street, or Sidewalk",3500-3599,MOSLEY CT APT 8,-,-,1
02/04/2018,22,Theft,10H40,"Road, Street, or Sidewalk",2000-2099,MILAM,-,-,1
02/05/2018,04,Theft,10H40,Apartment,1700-1799,GRAY ST,ST,-,1
02/05/2018,11,Theft,10H40,Bus Station,2100-2199,MAIN ST,ST,-,1
02/05/2018,11,AutoTheft,10H40,"Road, Street, or Sidewalk",3600-3699,MAIN ST,ST,-,1
02/06/2018,18,Theft,10H40,Grocery Store or Supermarket,900-999,MCKINNEY,ST,-,1
