Occurrence Date,Occurrence Hour,NIBRS Description,,Offense Count,Beat,Premise,Block Range,Street Name,Street Type,Suffix
8/1/18,3,"Destruction, damage, vandalism",,1,9C30,Industrial Site,8800-8899,CITY PARK,LP,
8/1/18,3,All other larceny,,1,9C30,Industrial Site,8800-8899,CITY PARK,LP,
8/1/18,3,Theft from motor vehicle,,1,14D50,"Residence, Home (Includes Apartment)",14000-14099,AUTUMN RIDGE TRAIL,DR,
8/1/18,3,Intimidation,,1,14D30,"Residence, Home (Includes Apartment)",7300-7399,MOUNTBATTEN,RD,
8/1/18,3,Simple assault,,1,20G70,"Residence, Home (Includes Apartment)",2700-2799,SYNOTT,RD,
8/1/18,3,Theft from motor vehicle,,1,19G40,"Parking Lot, Garage",12100-12199,HUNTINGTON PARK,DR,
8/1/18,3,All other offenses,,1,22B30,"Residence, Home (Includes Apartment)",16000-16099,COTILLION,DR,
8/1/18,4,"Burglary, Breaking and Entering",,1,5F30,"Grocery, Supermarket",7300-7399,TIDWELL,RD,W
8/1/18,4,"Destruction, damage, vandalism",,1,5F30,"Grocery, Supermarket",7300-7399,TIDWELL,RD,W
8/1/18,4,Robbery,,1,20G70,"Residence, Home (Includes Apartment)",2400-2499,BRIARWEST,BLVD,
8/1/18,4,Aggravated Assault,,1,3B10,"Highway, Road, Street, Alley",,MANGUM RD AND TULSA RD,,
8/1/18,4,Simple assault,,1,13D40,"Residence, Home (Includes Apartment)",10900-10999,ARENDALE,ST,
8/1/18,4,Theft from motor vehicle,,1,1.60E+41,"Residence, Home (Includes Apartment)",14000-14099,FONDREN,RD,
8/1/18,4,Robbery,,1,18F60,Restaurant,8000-8099,GESSNER,RD,S
8/1/18,4,Theft from motor vehicle,,1,1.70E+41,"Residence, Home (Includes Apartment)",6400-6499,TEAL RUN,DR,
8/1/18,4,Theft of motor vehicle parts or accessory,,1,20G30,"Parking Lot, Garage",12100-12199,RICHMOND,AVE,
8/1/18,4,Simple assault,,1,6B30,"Residence, Home (Includes Apartment)",7300-7399,ANTOINE,DR,
8/1/18,4,"Drug, narcotic violations",,1,6B30,"Residence, Home (Includes Apartment)",7300-7399,ANTOINE,DR,
8/1/18,4,Simple assault,,1,11H10,"Residence, Home (Includes Apartment)",7300-7399,CAPITOL,ST,
8/1/18,5,"Destruction, damage, vandalism",,1,9C30,"Other, Unknown",10600-10699,EAST,FWY,
8/1/18,5,Trespass of real property,,1,10H70,"Drug Store, Doctors Office, Hospital",6700-6799,BERTNER,AVE,
8/1/18,5,Motor vehicle theft,,2,22B40,"Residence, Home (Includes Apartment)",14900-14999,BEATTY,DR,
8/1/18,5,Theft from motor vehicle,,1,1.60E+41,"Highway, Road, Street, Alley",15900-15999,DARTON,DR,
8/1/18,5,Robbery,,1,1A10,"Highway, Road, Street, Alley",1900-1999,BASTROP,ST,
8/1/18,5,All other larceny,,1,1.70E+31,"Hotel, Motel, ETC",11900-11999,SAM HOUSTON,PKWY,S
8/1/18,5,"Destruction, damage, vandalism",,1,8C10,Convenience Store,4900-4999,LAURA KOPPE,RD,
8/1/18,5,Theft from motor vehicle,,1,13D20,"Parking Lot, Garage",8900-8999,BROADWAY,ST,
8/1/18,5,All other larceny,,1,2A50,"Residence, Home (Includes Apartment)",200-299,HEIGHTS,BLVD,S
8/1/18,5,Theft of motor vehicle parts or accessory,,1,12D10,"Parking Lot, Garage",8600-8699,THETA,,
8/1/18,5,Aggravated Assault,,1,18F20,"Highway, Road, Street, Alley",500-599,POST OAK,LN,S
8/1/18,5,All other larceny,,1,2A50,"Residence, Home (Includes Apartment)",200-299,HEIGHTS,BLVD,S
8/1/18,5,All other larceny,,1,1A10,"Airplane, Bus,Train Terminal",0-99,MAIN,ST,
8/1/18,5,"Burglary, Breaking and Entering",,1,18F50,"Residence, Home (Includes Apartment)",3400-3499,OCEE,ST,
8/1/18,6,Theft of motor vehicle parts or accessory,,1,1.60E+21,"Residence, Home (Includes Apartment)",3700-3799,HEATHERBLOOM,DR,
8/1/18,6,Impersonation,,1,3B10,"Residence, Home (Includes Apartment)",3200-3299,MANGUM,RD,
8/1/18,6,Robbery,,1,1A50,"Highway, Road, Street, Alley",4200-4299,RICHMOND,AVE,
8/1/18,6,Robbery,,1,3B40,"Residence, Home (Includes Apartment)",4600-4699,WERNER,ST,
8/1/18,6,"Drug, narcotic violations",,1,14D30,"Jail, Prison",8300-8399,MYKAWA,RD,
8/1/18,6,"Drug, narcotic violations",,1,10H60,"Residence, Home (Includes Apartment)",2400-2499,SOUTHMORE,BLVD,
8/1/18,6,Simple assault,,1,1.70E+41,"Parking Lot, Garage",7700-7799,BELLFORT,AVE,W
8/1/18,6,"Destruction, damage, vandalism",,1,1.50E+11,"Residence, Home (Includes Apartment)",5400-5499,KULDELL,DR,
8/1/18,6,"Burglary, Breaking and Entering",,1,3B10,"Residence, Home (Includes Apartment)",4600-4699,34TH,ST,W
8/1/18,6,Simple assault,,1,19G10,"Residence, Home (Includes Apartment)",10000-10099,CLUB CREEK,DR,
8/1/18,6,"Burglary, Breaking and Entering",,1,6B30,"Residence, Home (Includes Apartment)",5700-5799,DEEP FOREST,CIR,
8/1/18,6,Simple assault,,2,18F30,"Bar, Nightclub",6300-6399,RICHMOND,AVE,
8/1/18,6,Motor vehicle theft,,1,19G40,"Parking Lot, Garage",11400-11499,BISSONNET,ST,
8/1/18,6,"Destruction, damage, vandalism",,1,1A10,Park/Playground,400-499,RUSK,ST,
8/1/18,7,"Counterfeiting, forgery",,1,6B30,"Residence, Home (Includes Apartment)",7200-7299,T C JESTER,BLVD,
8/1/18,7,Impersonation,,1,18F20,"Residence, Home (Includes Apartment)",3300-3399,SAGE,RD,
8/1/18,7,Theft from motor vehicle,,1,19G40,"Parking Lot, Garage",11700-11799,GLEN,DR,S
8/1/18,7,"False pretenses, swindle",,1,19G10,"Highway, Road, Street, Alley",10900-10999,GLENWOLDE,DR,
8/1/18,7,Robbery,,1,19G10,"Highway, Road, Street, Alley",10900-10999,GLENWOLDE,DR,
