Indicator Name,What Is This Indicator,Location Type,Location,Indicator Rate Value,Indicator Rate Value Units,Rate Lower Confidence Interval,Rate Upper Confidence Interval,Indicator Count Value,Indicator Count Value Units,Count Lower Confidence Interval,Count Upper Confidence Interval,Indicator Value Unstable,Period of Measure,Data Source,Technical Note,Breakout Title,Breakout Category,Breakout Subcategory,Breakout Rate Value,Breakout Rate Value Units,Breakout Rate Lower Confidence Interval,Breakout Rate Upper Confidence Interval,Breakout Count Value,Breakout Count Value Units,Breakout Count Lower Confidence Interval,Breakout Count Upper Confidence Interval,Breakout Unstable,Breakout Footer
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451402,46420,dollars,38610,54230,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451402,45213,dollars,35973,54453,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451402,38363,dollars,27706,49020,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451402,35819,dollars,29752,41886,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451402,35959,dollars,31100,40818,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451402,36855,dollars,31505,42205,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451402,37037,dollars,31725,42349,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,56769,dollars,53320,60218,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,60255,dollars,54803,65707,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,55407,dollars,51825,58989,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,60398,dollars,54866,65930,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,60688,dollars,52822,68554,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,55139,dollars,44094,66184,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,50031,dollars,40709,59353,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,46359,dollars,35078,57640,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451403,37500,dollars,20744,54256,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,65808,dollars,56809,74807,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,72448,dollars,66501,78395,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,68862,dollars,63070,74654,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,70263,dollars,66329,74197,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,70000,dollars,65575,74425,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,67365,dollars,61086,73644,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,68248,dollars,58670,77826,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,71389,dollars,61970,80808,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451500,67370,dollars,59695,75045,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,87197,dollars,70300,104094,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,78644,dollars,54327,102961,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,89507,dollars,64904,114110,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,78527,dollars,59145,97909,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,109476,dollars,93750,125202,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,116136,dollars,88478,143794,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,106250,dollars,86149,126351,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,102270,dollars,85720,118820,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451601,110179,dollars,91776,128582,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,95274,dollars,81881,108667,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,87518,dollars,75338,99698,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,86156,dollars,70423,101889,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,90893,dollars,74618,107168,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,88125,dollars,69994,106256,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,92045,dollars,72575,111515,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,105105,dollars,87159,123051,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,106154,dollars,86856,125452,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451602,110459,dollars,99349,121569,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,55965,dollars,49114,62816,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,54703,dollars,48744,60662,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,55766,dollars,49018,62514,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,53665,dollars,43188,64142,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,57723,dollars,47499,67947,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,54268,dollars,46016,62520,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,50027,dollars,43373,56681,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,47636,dollars,43298,51974,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451700,44960,dollars,32543,57377,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,58089,dollars,45314,70864,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,56447,dollars,46487,66407,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,56703,dollars,48343,65063,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,51525,dollars,47998,55052,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,54297,dollars,50251,58343,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,54595,dollars,48564,60626,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,55202,dollars,47498,62906,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,50731,dollars,44146,57316,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451800,47449,dollars,34509,60389,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,36774,dollars,30404,43144,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,34514,dollars,28048,40980,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,33933,dollars,28718,39148,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,31504,dollars,25230,37778,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,34450,dollars,29983,38917,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,37456,dollars,29470,45442,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,41357,dollars,35394,47320,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,45257,dollars,36893,53621,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451901,43944,dollars,37901,49987,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,98750,dollars,78695,118805,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,107875,dollars,97159,118591,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,107734,dollars,94521,120947,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,106776,dollars,87927,125625,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,102841,dollars,78809,126873,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,102031,dollars,60343,143719,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,108654,dollars,68260,149048,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,114737,dollars,80473,149001,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201451902,123700,dollars,100264,147136,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,55203,dollars,44087,66319,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,56841,dollars,48534,65148,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,55112,dollars,45001,65223,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,53723,dollars,42414,65032,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,55093,dollars,43242,66944,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,51336,dollars,44091,58581,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,51975,dollars,44842,59108,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,48250,dollars,38981,57519,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452000,48588,dollars,42418,54758,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,52185,dollars,35431,68939,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,60677,dollars,48519,72835,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,47622,dollars,38212,57032,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,51616,dollars,39390,63842,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,60932,dollars,52334,69530,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,52051,dollars,43975,60127,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,52411,dollars,46204,58618,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,54833,dollars,49129,60537,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452100,59292,dollars,51168,67416,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,37422,dollars,32376,42468,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,35155,dollars,29457,40853,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,35846,dollars,29657,42035,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,30351,dollars,25383,35319,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,29293,dollars,23674,34912,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,29971,dollars,25851,34091,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,35452,dollars,30243,40661,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,32547,dollars,27418,37676,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452201,34330,dollars,30636,38024,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,42230,dollars,30152,54308,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,47847,dollars,33239,62455,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,53304,dollars,44565,62043,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,42099,dollars,27942,56256,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,53945,dollars,34591,73299,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,39344,dollars,28036,50652,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,36471,dollars,26478,46464,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,39858,dollars,29864,49852,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452202,43333,dollars,27321,59345,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,36688,dollars,26745,46631,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,46154,dollars,41066,51242,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,47604,dollars,43729,51479,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,45117,dollars,38353,51881,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,42267,dollars,35354,49180,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,45588,dollars,38388,52788,,,,,No,2009-2013,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,45238,dollars,35836,54640,,,,,No,2008-2012,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,41889,dollars,34239,49539,,,,,No,2007-2011,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452300,44474,dollars,38724,50224,,,,,No,2006-2010,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452400,43214,dollars,35813,50615,,,,,No,2014-2018,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452400,44301,dollars,35697,52905,,,,,No,2013-2017,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452400,44773,dollars,37880,51666,,,,,No,2012-2016,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452400,43463,dollars,35666,51260,,,,,No,2011-2015,American Community Survey,,,,,,,,,,,,,,
Median Household Income,This indicator shows the median household income. Household income is defined as the sum of money received over a calendar year by all household members 15 years and older.,Census Tract,48201452400,47707,dollars,40768,54646,,,,,No,2010-2014,American Community Survey,,,,,,,,,,,,,,
