Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
01/19/2018,19,Theft,10H40,Commercial Parking Lot or Garage,2900-2999,MILAM,-,-,1
01/19/2018,19,Theft,10H40,Other Parking Lot,2800-2899,CAROLINE ST,ST,-,1
01/19/2018,21,Theft,10H40,Bar or Night Club Parking Lot,1000-1099,MCGOWEN ST,ST,-,1
01/19/2018,15,Theft,10H40,Residence or House,2600-2699,CHENEVERT,ST,-,1
01/20/2018,04,Aggravated Assault,10H40,Bar or Night Club,2900-2999,TRAVIS ST,ST,-,1
01/20/2018,12,Theft,10H40,Apartment,2300-2399,MAIN ST,ST,-,1
01/20/2018,19,Aggravated Assault,10H40,Residence or House,1100-1199,GREEN TRAIL,DR,-,1
01/21/2018,01,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool",3200-3299,LOUISIANA ST,ST,-,1
01/21/2018,23,Robbery,10H40,"Road, Street, or Sidewalk",1800-1899,GRAY ST,ST,-,1
01/22/2018,06,Aggravated Assault,10H40,"Vacant Single Occ Resd(House,Townhs,Dplex)",4400-4499,FANNIN ST,ST,-,1
01/22/2018,07,Burglary,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST,-,1
01/22/2018,20,Theft,10H40,Garage or Carport,1600-1699,HOLMAN,ST,-,1
01/22/2018,16,Theft,10H40,"Road, Street, or Sidewalk",1200-1299,TRAVIS,ST,-,1
01/22/2018,11,Theft,10H40,"Other, Unknown, or Not Listed",2400-2499,SAN JACINTO ST,ST,-,1
01/22/2018,11,Robbery,10H40,Apartment,2300-2399,LOUISIANA,ST,-,1
01/22/2018,10,Theft,10H40,High Rise,800-899,ALABAMA ST,ST,-,1
01/23/2018,05,Theft,10H40,Restaurant or Cafeteria Parking Lot,3700-3799,TRAVIS ST,ST,-,1
01/24/2018,14,Theft,10H40,Apartment,1200-1299,DENNIS ST,ST,-,1
01/24/2018,05,Robbery,10H40,"Road, Street, or Sidewalk",1100-1199,MCILHENNY,ST,-,1
01/24/2018,21,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,FRANCIS ST,ST,-,1
01/25/2018,12,Theft,10H40,Apartment Parking Lot,2300-2399,MAIN ST,ST,-,1
01/25/2018,14,Theft,10H40,Residence or House,2300-2399,CRAWFORD,RD,-,1
01/25/2018,21,Theft,10H40,"Road, Street, or Sidewalk",3500-3599,MILAM,-,-,1
01/25/2018,22,Theft,10H40,"Road, Street, or Sidewalk",4000-4099,LA BRANCH,-,-,1
01/26/2018,16,Theft,10H40,Other Parking Lot,3200-3299,LOUISIANA ST,ST,-,1
01/26/2018,16,Theft,10H40,"Road, Street, or Sidewalk",900-999,STUART,-,-,1
01/27/2018,04,Burglary,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST,-,1
01/27/2018,12,Theft,10H40,"Road, Street, or Sidewalk",3300-3399,MILAM,-,-,1
01/27/2018,15,Theft,10H40,Apartment,700-799,MCGOWEN ST,ST,-,1
01/27/2018,15,Theft,10H40,Grocery Store or Supermarket,5200-5299,SILVER OAK,-,-,1
01/28/2018,01,Theft,10H40,Bar or Night Club Parking Lot,18500-18599,EGRET BAY BLVD 1902,-,-,1
01/28/2018,10,Theft,10H40,Garage or Carport,2600-2699,MILAM,-,-,1
01/29/2018,22,Theft,10H40,Bar or Night Club Parking Lot,2500-2599,HODGES BEND CIRCLE,-,-,1
01/29/2018,11,Theft,10H40,Driveway,3500-3599,CHENEVERT ST,ST,-,1
01/29/2018,12,Theft,10H40,Bar or Night Club,2300-2399,MCCUE,RD,-,1
01/29/2018,19,Robbery,10H40,"Road, Street, or Sidewalk",1100-1199,WAYSIDE DR APT 14,-,-,1
01/30/2018,00,Robbery,10H40,"Road, Street, or Sidewalk",1000-1099,GRAY ST,ST,-,1
01/30/2018,22,Theft,10H40,"Road, Street, or Sidewalk",300-399,WILLIAM CANNON,DR,E,1
01/31/2018,04,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,GARTH,RD,-,1
01/31/2018,15,Theft,10H40,Vehicle/Auto Sales/Lease/Auto Parts Store,2300-2399,MAIN ST,ST,-,1
01/31/2018,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST,-,1
01/31/2018,17,Theft,10H40,"Road, Street, or Sidewalk",1700-1799,GRAY ST,ST,-,1
01/31/2018,22,Theft,10H40,"Road, Street, or Sidewalk",800-899,HOLMAN,-,-,1
01/03/2018,13,Theft,10H50,Office Building,2600-2699,ELGIN,ST,-,1
01/03/2018,17,Burglary,10H50,Residence or House,3600-3699,NAGLE,-,-,1
01/03/2018,18,Burglary,10H50,Residence or House,4200-4299,AUSTIN,ST,-,1
01/03/2018,22,AutoTheft,10H50,Residence or House,3400-3499,MCGOWAN,-,-,1
01/05/2018,10,AutoTheft,10H50,"Road, Street, or Sidewalk",2600-2699,ISABELLA,ST,-,1
01/05/2018,04,Robbery,10H50,"Road, Street, or Sidewalk",3300-3399,BREMOND ST,ST,-,1
01/06/2018,15,Theft,10H50,"Parks and Recreation, Zoo, Swimming Pool",2600-2699,ANITA ST,ST,-,1
01/06/2018,18,Aggravated Assault,10H50,Residence or House,5100-5199,DITMAS LANE,-,-,1
01/06/2018,18,Theft,10H50,Restaurant or Cafeteria,12600-12699,BISSONNET,ST,-,1
01/06/2018,19,Theft,10H50,Residence or House,2300-2399,HUTCHINS,ST,-,1
01/07/2018,21,Burglary,10H50,Residence or House,3300-3399,FRANCIS,ST,-,1
01/07/2018,19,Theft,10H50,Residence or House,2100-2199,WEBSTER,-,-,1
01/08/2018,09,Aggravated Assault,10H50,Apartment,3200-3299,TRUXILLO,-,-,1
01/09/2018,16,Robbery,10H50,Bank or Savings Institution Parking Lot,300-399,HIGHWAY 6,-,-,1
01/09/2018,08,Theft,10H50,"Church, Synagogue, or Temple Parking Lot",3500-3599,HOLMAN,-,-,1
01/10/2018,01,Burglary,10H50,Residence or House,1500-1599,ALEXANDER,ST,-,1
01/10/2018,19,Theft,10H50,"Road, Street, or Sidewalk",5200-5299,KINGSBURY,ST,-,1
01/10/2018,17,Burglary,10H50,Residence or House,3300-3399,TUAM,-,-,1
01/11/2018,04,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2900-2999,NAGLE,-,-,1
01/11/2018,08,Theft,10H50,Apartment Parking Lot,3100-3199,ISABELLA,-,-,1
01/11/2018,13,Robbery,10H50,Restaurant or Cafeteria Parking Lot,3400-3499,ELGIN ST,ST,-,1
