Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
04/09/2018,06,Theft,10H40,"Road, Street, or Sidewalk",1800-1899,DREW,ST,-,1
04/09/2018,00,Theft,10H40,"Road, Street, or Sidewalk",1100-1199,HADLEY,ST,-,1
04/09/2018,10,Theft,10H40,Apartment,3500-3599,CHENEVERT,-,-,1
04/09/2018,10,Theft,10H40,"Road, Street, or Sidewalk",1600-1699,FRANCIS,ST,-,1
04/09/2018,10,Rape,10H40,"Road, Street, or Sidewalk",2600-2699,CAROLINE,ST,-,1
04/09/2018,11,Theft,10H40,Other Parking Lot,2100-2199,MAIN,ST,-,1
04/09/2018,17,Theft,10H40,"Road, Street, or Sidewalk",1700-1799,MCILHENNY,ST,-,1
04/09/2018,19,Theft,10H40,"Road, Street, or Sidewalk",2500-2599,CHENEVERT,ST,-,1
04/09/2018,20,Aggravated Assault,10H40,"Other, Unknown, or Not Listed",4500-4599,MAIN,ST,-,1
04/09/2018,20,Theft,10H40,Service or Gas Station,2000-2099,FANNIN,ST,-,1
04/09/2018,13,Theft,10H40,Apartment Parking Lot,2200-2299,AUSTIN,ST,-,1
04/11/2018,06,Murder,10H40,"Road, Street, or Sidewalk",2300-2399,TRAVIS,ST,-,1
04/11/2018,07,Robbery,10H40,"Road, Street, or Sidewalk",4500-4599,TRAVIS,ST,-,1
04/11/2018,07,Burglary,10H40,Bar or Night Club,2600-2699,MILAM,-,-,1
04/11/2018,17,Robbery,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN,ST,-,1
04/11/2018,17,Burglary,10H40,Rental Storage Facility,3000-3099,SAN JACINTO,ST,-,1
04/12/2018,00,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA,ST,-,1
04/12/2018,07,Theft,10H40,"Gym, Recreat, Club House, Indoor Pool",2700-2799,CRAWFORD,RD,-,1
04/12/2018,10,Theft,10H40,Restaurant or Cafeteria Parking Lot,1000-1099,MCGOWEN,ST,-,1
04/13/2018,10,Theft,10H40,Commercial Parking Lot or Garage,3200-3299,LOUISIANA,ST,-,1
04/13/2018,09,Theft,10H40,Bar or Night Club,3700-3799,MAIN,ST,-,1
04/13/2018,08,Theft,10H40,Residence or House,2200-2299,CHENEVERT,ST,-,1
04/13/2018,21,Theft,10H40,Convenience Store Parking Lot,1000-1099,ELGIN,ST,-,1
04/13/2018,23,Theft,10H40,"Road, Street, or Sidewalk",800-899,BERRY,ST,-,1
04/13/2018,12,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,ST,-,2
04/13/2018,13,Theft,10H40,Apartment,3800-3899,FANNIN,ST,-,1
04/14/2018,00,Theft,10H40,"Road, Street, or Sidewalk",800-899,WINBERN,-,-,1
04/14/2018,01,Theft,10H40,"Road, Street, or Sidewalk",800-899,ELGIN,ST,-,1
04/14/2018,09,Burglary,10H40,Construction Site,900-999,MCGOWEN,ST,-,1
04/14/2018,09,Theft,10H40,Construction Site,2400-2499,CRAWFORD,RD,-,1
04/14/2018,02,Theft,10H40,"Road, Street, or Sidewalk",2200-2299,CAROLINE,ST,-,1
04/14/2018,05,Theft,10H40,"Road, Street, or Sidewalk",1200-1299,HADLEY,ST,-,1
04/14/2018,15,Robbery,10H40,Bus Station,2100-2199,MAIN,ST,-,1
