Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,Offenses
03/16/2018,09,Burglary,10H40,Service or Gas Station,2400-2499,SAN JACINTO ST,ST,-,1
03/16/2018,07,Robbery,10H40,Convenience Store,6600-6699,DEMOSS,DR,-,1
03/16/2018,10,Burglary,10H40,Residence or House,2800-2899,CRAWFORD,RD,-,1
03/16/2018,19,Theft,10H40,"Road, Street, or Sidewalk",900-999,STUART,-,-,1
03/16/2018,17,Aggravated Assault,10H40,Service or Gas Station,3400-3499,FANNIN,ST,-,1
03/16/2018,13,Theft,10H40,Restaurant or Cafeteria Parking Lot,700-799,CATHER,-,-,1
03/16/2018,13,Theft,10H40,"Road, Street, or Sidewalk",1400-1499,TRUXILLO,-,-,1
03/16/2018,14,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,HAMILTON ST,ST,-,1
03/17/2018,11,Theft,10H40,Restaurant or Cafeteria Parking Lot,2800-2899,MILAM,-,-,1
03/17/2018,16,Robbery,10H40,"Road, Street, or Sidewalk",300-399,HAMILTON,-,-,1
03/17/2018,17,Theft,10H40,"Road, Street, or Sidewalk",2000-2099,FANNIN ST,ST,-,1
03/18/2018,11,Theft,10H40,Grocery Store or Supermarket,3400-3499,FANNIN,ST,-,1
03/18/2018,21,Theft,10H40,"Road, Street, or Sidewalk",300-399,DOMINION,DR,-,1
03/18/2018,17,Theft,10H40,Other Parking Lot,1500-1599,TRUXILLO,-,-,1
03/19/2018,08,Burglary,10H40,Apartment,800-899,ALABAMA ST,ST,-,1
03/19/2018,08,Burglary,10H40,Residence or House,4100-4199,CAROLINE,ST,-,1
03/19/2018,10,Aggravated Assault,10H40,"Road, Street, or Sidewalk",7000-7099,DESCO SQUARE,-,-,1
03/19/2018,15,Aggravated Assault,10H40,Restaurant or Cafeteria Parking Lot,2000-2099,MAIN ST,ST,-,1
03/19/2018,21,Aggravated Assault,10H40,"Road, Street, or Sidewalk",2000-2099,MAIN ST,ST,-,1
03/19/2018,18,Theft,10H40,Apartment,700-799,MCGOWEN ST,ST,-,1
03/20/2018,17,Theft,10H40,Commercial Parking Lot or Garage,11700-11799,BRIAR CANYON,CT,-,1
03/20/2018,09,Theft,10H40,"Road, Street, or Sidewalk",2700-2799,AUBURN CHESTNUT LANE,-,-,1
03/20/2018,13,Theft,10H40,"Road, Street, or Sidewalk",1000-1099,HADLEY ST,ST,-,1
03/20/2018,20,Theft,10H40,Restaurant or Cafeteria Parking Lot,2600-2699,TRAVIS ST,ST,-,1
03/21/2018,07,Burglary,10H40,Construction Site,10000-10099,HOUSTON OAKS,DR,-,1
03/21/2018,23,Theft,10H40,Strip Business Center Parking Lot,1000-1099,COWARDS CREEK,CT,-,1
03/22/2018,08,Theft,10H40,Commercial Parking Lot or Garage,3700-3799,SAN JACINTO,ST,-,1
03/22/2018,12,Theft,10H40,Office Building,1300-1399,GRAY,ST,-,1
03/23/2018,19,Robbery,10H40,Other Parking Lot,1600-1699,MCGOWEN ST,ST,-,1
03/23/2018,18,Theft,10H40,Commercial Parking Lot or Garage,1000-1099,MCGOWEN ST,ST,-,1
03/23/2018,21,Theft,10H40,"Road, Street, or Sidewalk",1700-1799,WINBERN,-,-,1
03/23/2018,15,Theft,10H40,"Road, Street, or Sidewalk",800-899,STUART,-,-,1
03/24/2018,02,Robbery,10H40,Bus Station,4500-4599,MAIN ST,ST,-,1
03/24/2018,02,Robbery,10H40,"Road, Street, or Sidewalk",2200-2299,LA BRANCH,-,-,1
03/24/2018,18,Theft,10H40,"Road, Street, or Sidewalk",14000-14099,CONWAY LANDING,-,-,1
03/24/2018,23,Theft,10H40,"Road, Street, or Sidewalk",12300-12399,BEND CREEK,LN,-,1
03/25/2018,18,Theft,10H40,Apartment,1300-1399,ISABELLA,-,-,1
03/25/2018,22,Theft,10H40,"Road, Street, or Sidewalk",2300-2399,CRAWFORD ST,ST,-,1
03/26/2018,11,Burglary,10H40,Residence or House,1400-1499,ROSALIE,ST,-,1
03/26/2018,20,Theft,10H40,Bar or Night Club Parking Lot,1000-1099,MCGOWEN ST,ST,-,1
03/26/2018,23,Theft,10H40,Convenience Store Parking Lot,7500-7599,POTRANCO RD APT 1811,-,-,1
03/27/2018,06,Theft,10H40,Residence or House,2200-2299,CHENEVERT ST UNIT C,-,-,1
03/27/2018,07,Burglary,10H40,Miscellaneous Business (Non-Specific),2100-2199,CHENEVERT,ST,-,1
03/27/2018,12,Aggravated Assault,10H40,Light Rail (Metro Rail) Vehicle,3500-3599,MAIN ST,ST,-,1
03/27/2018,19,Theft,10H40,Commercial Parking Lot or Garage,1400-1499,HADLEY ST,ST,-,1
03/27/2018,19,Theft,10H40,Other Parking Lot,800-899,STUART,-,-,1
03/27/2018,18,Theft,10H40,Apartment Parking Lot,4000-4099,FANNIN ST APT 4214,-,-,1
03/27/2018,14,Theft,10H40,Commercial Building,1000-1099,ALABAMA,ST,-,1
03/27/2018,14,Theft,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST,-,1
03/27/2018,14,Theft,10H40,Service or Gas Station,2100-2199,FANNIN ST,ST,-,1
03/28/2018,12,Theft,10H40,Park and Ride Terminal,2100-2199,MAIN ST,ST,-,1
03/28/2018,04,Theft,10H40,Service or Gas Station,2100-2199,HAMILTON,ST,-,1
03/28/2018,08,Theft,10H40,Apartment Parking Lot,3600-3699,CHENEVERT ST,ST,-,1
03/28/2018,08,Theft,10H40,Bus Station,2100-2199,MAIN ST,ST,-,1
03/28/2018,15,Theft,10H40,"Road, Street, or Sidewalk",2100-2199,MAIN ST,ST,-,1
03/29/2018,23,Theft,10H40,"Road, Street, or Sidewalk",800-899,ROSALIE,-,-,1
03/30/2018,01,Theft,10H40,"Road, Street, or Sidewalk",900-999,PO BOX 58,-,-,1
03/30/2018,23,Theft,10H40,"Road, Street, or Sidewalk",12100-12199,HWY 6 APT 8306,-,S,1
03/30/2018,15,Theft,10H40,Residence or House,1300-1399,EAGLE ST,ST,-,1
03/30/2018,23,Rape,10H40,Construction Site,11900-11999,SOUTHVIEW,-,-,1
03/31/2018,01,Theft,10H40,Other Parking Lot,3800-3899,RIVERMOSS,LN,-,1
03/31/2018,08,Aggravated Assault,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST,-,1
03/31/2018,08,Burglary,10H40,Miscellaneous Business (Non-Specific),2800-2899,CAROLINE,ST,-,1
03/31/2018,14,AutoTheft,10H40,Apartment Parking Lot,3800-3899,MAIN,ST,-,1
03/31/2018,20,Theft,10H40,"Road, Street, or Sidewalk",2600-2699,TRAVIS ST,ST,-,1
03/01/2018,05,Murder,10H50,Hotel or Motel Parking Lot,2300-2399,ROBERTS,-,-,1
