iter	Accuracy	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8
148	0.504372626	1.291074745	0	0.4476537172	0.3101948968	0.01051025598	0	0	0	0.6711259108	0.0004786979416
149	0.5043984359	1.291053272	0	0.4477961378	0.3105137737	0.01051025598	0	0	0	0.6710909438	0.0004786979416
150	0.5045016755	1.290991738	0	0.4481444652	0.3104677995	0.01051144391	0	0	0	0.6712036019	0.0004787170383
151	0.5047296629	1.290851881	0	0.4482322529	0.3124394368	0.01051084991	0	0	0	0.6714845226	0.0003989467805
152	0.504690948	1.290838074	0	0.4482138881	0.3125593768	0.01051084991	0	0	0	0.6714129654	0.0003989467805
153	0.5047382662	1.290790741	0	0.4481315253	0.3125748275	0.01129177958	0	0	0	0.6714280969	0.0005584809319
154	0.504776981	1.290737862	0	0.448313436	0.3125332523	0.01129177958	0	0	0	0.671487672	0.0005584809319
155	0.5048199975	1.290700443	0	0.4484061637	0.3125854993	0.01129177958	0	0	0	0.6714927692	0.0005584809319
156	0.5048415057	1.290679188	0	0.448436344	0.3126033176	0.01129177958	0	0	0	0.6715064727	0.0005584809319
157	0.5049103321	1.290624495	0	0.4484815704	0.3123467817	0.01129177958	0	0	0	0.6716784901	0.0006382130036
158	0.5048242992	1.29049	0	0.4484609451	0.3120793886	0.01140340973	0	0	0	0.6715847539	0.0006382130036
159	0.5047855843	1.290431597	0	0.448534088	0.3118181473	0.01140340973	0	0	0	0.6715745742	0.0006382384618
160	0.5047984893	1.290359445	0	0.4484146555	0.3118285703	0.01140276602	0	0	0	0.6715587339	0.0006382384618
161	0.5048845222	1.290313908	0	0.4485235054	0.3118236625	0.01140212238	0	0	0	0.6716752635	0.0006382384618
162	0.5050522865	1.290124786	0	0.4483949517	0.313883987	0.01140340973	0	0	0	0.6717343535	0.0004787170383
163	0.5050823981	1.290078139	0	0.4484785808	0.3135736386	0.01140405352	0	0	0	0.6718233972	0.0004787170383
164	0.5050694931	1.289966158	0	0.4484481935	0.3129039617	0.01129433025	0	0	0	0.6717957235	0.0004787170383
165	0.5050049684	1.289904249	0	0.4483614381	0.3127459367	0.01129496809	0	0	0	0.6718053075	0.0004787170383
166	0.5051254146	1.289845433	0	0.4487272207	0.3123168829	0.0114066294	0	0	0	0.6719728818	0.0004787170383
167	0.5051727327	1.28981979	0	0.4487713387	0.3127506319	0.01140727355	0	0	0	0.6720267255	0.0004787170383
168	0.5051770344	1.289806817	0	0.4487729671	0.3127744094	0.01118264995	0	0	0	0.6720405535	0.0004786979416
169	0.5051340179	1.289788217	0	0.4487337397	0.3126900852	0.01129496809	0	0	0	0.6719936176	0.0004786979416
170	0.5050522865	1.289700926	0	0.4484887051	0.3125927053	0.01129496809	0	0	0	0.6718381449	0.0004786979416
171	0.5051168113	1.289590917	0	0.4486810513	0.3127805249	0.01151891587	0	0	0	0.6718698728	0.0003989149513
172	0.5051340179	1.289543403	0	0.4487449612	0.3127673733	0.01151826548	0	0	0	0.6718866177	0.0003989308653
173	0.5050866997	1.28951374	0	0.4486395829	0.3123573277	0.01140598532	0	0	0	0.671931078	0.0004786979416
174	0.5050436832	1.289454744	0	0.4486022907	0.3122836383	0.01140598532	0	0	0	0.6719036245	0.0003989308653
175	0.5050393816	1.28939754	0	0.4485401692	0.3123858795	0.01129369247	0	0	0	0.6718722095	0.0003989308653
176	0.5050307783	1.289329013	0	0.4486337842	0.3124108688	0.01129305477	0	0	0	0.6718709752	0.0004786979416
177	0.5050178734	1.289280429	0	0.4486734313	0.312391887	0.01129369247	0	0	0	0.6718719484	0.0005584586541
178	0.5050264766	1.289258	0	0.4486553053	0.3119828029	0.01118138694	0	0	0	0.6719433607	0.0005584809319
179	0.5050350799	1.289171781	0	0.44882553	0.3117387333	0.01151956632	0	0	0	0.6718537751	0.0004787170383
180	0.5050264766	1.289158745	0	0.4488541129	0.3117743348	0.01151956632	0	0	0	0.6718517595	0.0003989308653
181	0.5052028443	1.288918299	0	0.4490252908	0.31214996	0.01118201841	0	0	0	0.6720208072	0.0003989308653
182	0.5053017822	1.288849128	0	0.4492470454	0.3120545753	0.01118201841	0	0	0	0.672064071	0.0003989308653
183	0.5052931789	1.288830892	0	0.4492172297	0.312034302	0.01118075555	0	0	0	0.6720639365	0.0003989308653
184	0.505254464	1.288789213	0	0.4490049059	0.3117229807	0.01118075555	0	0	0	0.6719994022	0.0003989308653
185	0.5052759723	1.288739161	0	0.4491158886	0.3116561141	0.01118012422	0	0	0	0.6719994687	0.0003989149513
186	0.505181336	1.288684264	0	0.448737637	0.311896555	0.01129241714	0	0	0	0.6719740332	0.0003989308653
187	0.5052759723	1.288640613	0	0.4489695234	0.3117763559	0.01117949297	0	0	0	0.6720652142	0.0003989308653
188	0.5052372574	1.288597733	0	0.4486039297	0.311891284	0.01129241714	0	0	0	0.6721176754	0.0003989308653
189	0.5052200508	1.288583884	0	0.4485649739	0.3119734685	0.01129241714	0	0	0	0.6720872608	0.0003989308653
190	0.5052501624	1.288437978	0	0.4485554468	0.3120402485	0.01129177958	0	0	0	0.6721199218	0.0003989308653
191	0.5052200508	1.288420389	0	0.4485713604	0.3119437404	0.01129177958	0	0	0	0.6720728423	0.0003989149513
192	0.5053103855	1.288407053	0	0.4487502885	0.3119797322	0.0112911421	0	0	0	0.6721783666	0.0003989149513
193	0.5052587657	1.288335033	0	0.4485359114	0.3127329429	0.0112911421	0	0	0	0.6720731115	0.0003989149513
194	0.5052329558	1.288292206	0	0.4486140521	0.3126319594	0.01129050469	0	0	0	0.6720239751	0.0003989308653
195	0.5051254146	1.288264168	0	0.4484973928	0.3120624049	0.01117886179	0	0	0	0.6719848589	0.0003989149513
196	0.5051985426	1.288213116	0	0.448649165	0.3121517013	0.01117886179	0	0	0	0.6720629623	0.0003989149513
197	0.5051469228	1.288188097	0	0.4485076291	0.3119646732	0.01106594399	0	0	0	0.671977892	0.0003989149513
198	0.5052114475	1.288135414	0	0.4484878406	0.3120278576	0.01106594399	0	0	0	0.6721333925	0.0003988990387
199	0.5051899393	1.288085788	0	0.448394267	0.3121635758	0.01095364463	0	0	0	0.6720881601	0.0003989149513
200	0.505194241	1.288039252	0	0.4483981228	0.3122385335	0.01095426313	0	0	0	0.672085439	0.0003989149513
201	0.5051641294	1.287929053	0	0.4483030656	0.3119698756	0.01117886179	0	0	0	0.6720987736	0.0003989149513
202	0.505194241	1.287888064	0	0.448353365	0.3121791703	0.01117759964	0	0	0	0.6720931294	0.0003989149513
203	0.505267369	1.287854001	0	0.4485599987	0.3123633529	0.01117823068	0	0	0	0.672107342	0.0003191446922
204	0.5053232904	1.287827538	0	0.4485587848	0.3123311646	0.01129050469	0	0	0	0.6721022532	0.0003191446922
205	0.5052974805	1.287794488	0	0.4485077663	0.3123027191	0.01129050469	0	0	0	0.6720598419	0.0003191446922
206	0.5052286541	1.287729779	0	0.4485344566	0.3120982771	0.01117886179	0	0	0	0.6719546225	0.0003191319611
207	0.5052587657	1.287700667	0	0.4485784486	0.3121042122	0.01117949297	0	0	0	0.6719934983	0.0003191319611
208	0.5052802739	1.287654851	0	0.4484901671	0.3119454705	0.01117949297	0	0	0	0.6720112086	0.0003191319611
209	0.5053706086	1.28754626	0	0.4484847517	0.3132800182	0.01129050469	0	0	0	0.6720293899	0.0003191319611
210	0.505340497	1.287519208	0	0.4485484759	0.3131006191	0.01140276602	0	0	0	0.6720420073	0.0003191319611
211	0.505353402	1.28742759	0	0.4486279515	0.312696029	0.01140340973	0	0	0	0.6720494319	0.0003191319611
212	0.5053792119	1.287396722	0	0.4486048404	0.3128207077	0.01129050469	0	0	0	0.6721105476	0.0003191319611
213	0.5053706086	1.287376118	0	0.4485887418	0.3128183684	0.01129050469	0	0	0	0.67215046	0.0003191192309
214	0.5053878151	1.287324311	0	0.4487011952	0.3131462895	0.01129050469	0	0	0	0.6721217603	0.0003191192309
215	0.5053361954	1.287284614	0	0.4486807724	0.313507145	0.01128986734	0	0	0	0.672003785	0.0003191319611
216	0.505353402	1.287274669	0	0.4487054887	0.3135511088	0.0112911421	0	0	0	0.6720065074	0.0003191446922
217	0.5053189888	1.28725785	0	0.4486241894	0.3131604957	0.0112911421	0	0	0	0.6720476738	0.0003191446922
218	0.5052931789	1.287221867	0	0.4485116012	0.3134059003	0.0112911421	0	0	0	0.6720256968	0.0003191446922
219	0.5053103855	1.287212728	0	0.4485506207	0.3133976746	0.01151566469	0	0	0	0.6720256301	0.0003191192309
220	0.5053232904	1.28718658	0	0.4486020032	0.3134237623	0.01151566469	0	0	0	0.672020119	0.0003191192309
221	0.5053620053	1.287159576	0	0.448597386	0.3136196972	0.01140405352	0	0	0	0.6720389727	0.0003191065018
222	0.5052974805	1.287109494	0	0.4485163429	0.3137083602	0.01129177958	0	0	0	0.6719560472	0.0003191065018
223	0.505353402	1.287076949	0	0.4484497884	0.3140329562	0.01129050469	0	0	0	0.6720956294	0.0003191065018
224	0.5053361954	1.286979444	0	0.448589047	0.3139673923	0.01129050469	0	0	0	0.6720437696	0.0003190810466
225	0.505267369	1.286959583	0	0.4483997674	0.3138989615	0.01128986734	0	0	0	0.6720073718	0.0002393203303
226	0.5053232904	1.28679819	0	0.4484469972	0.3136420621	0.01140469738	0	0	0	0.6721067202	0.0002393203303
227	0.5053447987	1.286768983	0	0.4483964782	0.3138371585	0.01151696494	0	0	0	0.6721483628	0.0002393203303
228	0.5053232904	1.286755618	0	0.4483876879	0.3138393789	0.01140469738	0	0	0	0.6721235265	0.0002393203303
229	0.5055899926	1.286704213	0	0.4487383714	0.3142585912	0.01129050469	0	0	0	0.6724011242	0.0002393298763
230	0.5056028976	1.286671231	0	0.4488668036	0.3140047087	0.01129050469	0	0	0	0.6724320464	0.0002393298763
231	0.5054824514	1.286610227	0	0.4487005848	0.3140530382	0.01129050469	0	0	0	0.6722400252	0.0002393298763
232	0.5054910547	1.286584788	0	0.4487305115	0.3141088921	0.0112911421	0	0	0	0.6722262118	0.0002393298763
233	0.5055426745	1.286544258	0	0.4487600408	0.3141528239	0.01129177958	0	0	0	0.6722640946	0.0002393298763
234	0.5056416124	1.286513151	0	0.4488828977	0.3139808627	0.01129305477	0	0	0	0.6723082284	0.0002393298763
